0.00,1000000.00,0.00,1000000.00,0.00,0.00,1000000.00,1000000.00,2000000.00,0.00,0.00,1000000.00,3000000.00,0.00,13000000.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000000.00,12000000.00,0.00,13000000.00
1000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40000000.00,0.00,12000000.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12000000.00,0.00,40000000.00,1000000.00,3000000.00
0.00,0.00,0.00,1000000.00,0.00,0.00,0.00,0.00,0.00,10000000.00,0.00,0.00,12000000.00,0.00,0.00,1000000.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15000000.00,17000000.00,0.00,0.00,0.00,0.00,0.00,0.00
2000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17000000.00,10000000.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,11000000.00,0.00,0.00,15000000.00,0.00,0.00,0.00,0.00,2000000.00
0.00,0.00,0.00,0.00,0.00,0.00,10000000.00,0.00,11000000.00,0.00,0.00,0.00,0.00,0.00,0.00,1000000.00
2000000.00,0.00,0.00,0.00,0.00,18000000.00,0.00,10000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000000.00
2000000.00,0.00,0.00,0.00,24000000.00,0.00,18000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1000000.00,0.00,0.00,18000000.00,0.00,24000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,11000000.00,0.00,18000000.00,0.00,0.00,0.00,0.00,0.00,0.00,1000000.00,0.00,0.00,0.00,1000000.00
3000000.00,2000000.00,0.00,11000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6000000.00,0.00,2000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1000000.00
0.00,6000000.00,3000000.00,0.00,1000000.00,2000000.00,2000000.00,0.00,0.00,2000000.00,0.00,0.00,0.00,1000000.00,0.00,0.00
